,Tubular,Diffuse,Fragmented,Condensed,Nuc_Solidity,Gene,Metadata_BaseFileName,FileName_ColorImage,Location_Center_X,Location_Center_Y,Mean_Golgi_AreaShape_Center_X,Mean_Golgi_AreaShape_Center_Y,Mean_Nuclei_AreaShape_Solidity,Metadata_U,Metadata_V,Metadata_X,Metadata_Y,ImageQuality_PowerLogLogSlope_Dna,Intensity_IntegratedIntensity_GolgiBGCorr,Mean_Nuclei_Math_CV,Math_Blobness,Math_Diffuseness,Children_Golgi_Count,Mean_MaxAreaGolgi_AreaShape_FormFactor,img_name,img_name_raw
360,0.061421558683046086,0.5089819120057432,1.033718816421432,0.8658414771371292,0.7012849039493555,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00--colorImage.png,52.13948439620082,502.18914518317507,54.66666666666666,504.66666666666663,0.9622942113648434,0,0,3,14,-1.45400207817,159.5248574912548,0.28968723667042934,0.770682872055508,0.7280464341190542,3,0.754240430392109,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00--colorImage_447.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00--colorImage_447.png
361,0.9881071460147945,-0.3723120518080023,-0.9314584603883439,0.31190044151612734,0.6555182042183493,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00--colorImage.png,76.12610375275938,548.7014348785872,47.0,559.0,0.9609571788413098,0,0,3,14,-1.45400207817,176.35004165023562,0.2414120349121997,0.8623576572239254,0.5880450243674594,1,0.6511535995162672,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00--colorImage_449.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y14--T0000--Z00--colorImage_449.png
366,-2.366256707204619,0.9040262573395591,1.033718816421432,-0.622964393667483,0.3034780480960547,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00--colorImage.png,578.3096774193548,359.34737903225806,579.0,364.33333333333326,0.9506726457399104,0,0,3,15,-1.7422302799200002,326.48393377661705,0.2625061980350721,0.5305184770052873,0.7908027532725334,3,0.4771779469482906,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00--colorImage_454.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00--colorImage_454.png
371,0.7448092479156392,0.39714913295539633,-0.9314584603883439,0.38096895266193376,0.16053913290941732,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00--colorImage.png,115.43104288499023,520.0891812865497,91.0,515.0,0.9464968152866242,0,0,3,15,-1.7422302799200002,135.0135698616505,0.15901507244333818,0.8382887790142304,0.7102807993066546,1,0.6640070504604673,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00--colorImage_460.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y15--T0000--Z00--colorImage_460.png
374,-1.135445847118779,0.46647640418545727,-0.9314584603883439,-0.8044245102586128,0.3231900404143595,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y17--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y17--T0000--Z00--colorImage.png,242.9952452452453,462.028028028028,262.0,455.0,0.9512485136741972,0,0,3,17,-1.8331532715599999,144.526630256325,0.22017354957088905,0.6522796468387514,0.7212940549341389,1,0.4434087420206044,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y17--T0000--Z00--colorImage_463.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y17--T0000--Z00--colorImage_463.png
379,-0.8443158361342604,0.01384641421464612,-0.9314584603883439,1.420384256606734,0.35167603744015086,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y18--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y18--T0000--Z00--colorImage.png,570.3921224284998,341.2877571500251,595.0,348.0,0.9520807061790668,0,0,3,18,-2.25328541658,225.0706522315741,0.12227335247703335,0.6810804413886402,0.6493897423055365,1,0.857439244064607,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y18--T0000--Z00--colorImage_469.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y18--T0000--Z00--colorImage_469.png
381,0.8111771524766874,0.6444295861128294,0.05113017801654398,0.5954535750378456,-2.5518566949763697,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y19--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y19--T0000--Z00--colorImage.png,583.4587155963303,90.9735958827478,571.5,109.0,0.8672566371681415,0,0,3,19,-1.85309735598,181.32548288628456,0.1564567897473403,0.8448543968201907,0.7495635057219346,2,0.7039220207741346,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y19--T0000--Z00--colorImage_471.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y19--T0000--Z00--colorImage_471.png
383,-1.394117307803281,0.7505475423641825,0.05113017801654398,0.26254525931125583,0.05860474294730899,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y20--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y20--T0000--Z00--colorImage.png,193.44046661303295,149.11182622687045,197.0,144.5,0.9435188947582284,0,0,3,20,-1.45027730169,192.64129876717925,0.2522957955188904,0.6266898989116985,0.7664212899405581,2,0.6419687422956857,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y20--T0000--Z00--colorImage_475.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y20--T0000--Z00--colorImage_475.png
398,1.358080261585072,-0.09826794082297881,-0.9314584603883439,1.6961678035815848,0.7562923295443256,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage.png,150.25449275362317,85.5014492753623,168.0,71.0,0.9639012032932236,0,0,3,26,-1.63224306428,105.79950983449815,0.2738128885227453,0.8989582112323834,0.6315793766351147,1,0.9087617676495674,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_495.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_495.png
400,1.320540109453617,0.32637212626863793,-0.9314584603883439,0.5188211441803087,0.35363183450277885,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage.png,272.20572002007026,138.1419969894631,273.0,114.0,0.9521378430121252,0,0,3,26,-1.63224306428,203.86673095077282,0.2187424718484445,0.8952444539139491,0.6990372402661907,1,0.6896609461625391,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_497.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_497.png
401,0.4725359224804472,0.32559038158194226,0.05113017801654398,-0.12996908436719296,0.652967007336045,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage.png,167.34433126660758,162.53653675819308,163.0,176.0,0.9608826479438314,0,0,3,26,-1.63224306428,173.0219234339893,0.22500012007187808,0.8113534311922878,0.6989130531473665,2,0.5689229537348857,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_498.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_498.png
403,0.8062104191896339,0.17335707959070132,0.05113017801654398,0.3734950709463339,0.7892419968841157,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage.png,183.6783157894737,383.5469473684211,196.0,362.5,0.9648637978681404,0,0,3,26,-1.63224306428,204.42206198722127,0.21288448861893675,0.8443630497945069,0.6747294347804781,2,0.6626161826047606,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_500.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y26--T0000--Z00--colorImage_500.png
411,-2.313340975672814,0.5279129867598523,-0.9314584603883439,2.3227365093032883,-0.053537408031830165,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y27--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y27--T0000--Z00--colorImage.png,560.018629407851,44.295630960301615,546.0,61.0,0.9402427637721756,0,0,3,27,-1.64098597567,207.46705483272672,0.2639630733598284,0.5357533035597563,0.7310538042617235,1,1.0253643986975054,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y27--T0000--Z00--colorImage_509.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y27--T0000--Z00--colorImage_509.png
421,-0.254536318055708,-0.10197462089758261,0.05113017801654398,-0.9759944367109243,0.8524736090720647,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y30--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X03--Y30--T0000--Z00--colorImage.png,598.6233128834356,519.8520245398772,608.5,517.0,0.966711051930759,0,0,3,30,-1.8386548982700002,267.4179011769593,0.20573908007776695,0.7394259162246787,0.6309905374313409,2,0.4114800729850232,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X03--Y30--T0000--Z00--colorImage_520.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X03--Y30--T0000--Z00--colorImage_520.png
